problem_id,hold_id,x,y
WCF2025_M1,H1-1,836,672
WCF2025_M1,H1-2,844,672
WCF2025_M1,H1-3,835,679
WCF2025_M1,H1-4,846,681
WCF2025_M1,H2-0,822,637
WCF2025_M1,H3-1,871,619
WCF2025_M1,H3-2,878,610
WCF2025_M1,H3-3,867,629
WCF2025_M1,H3-4,875,624
WCF2025_M1,H4-1,827,587
WCF2025_M1,H4-2,837,589
WCF2025_M1,H4-3,828,596
WCF2025_M1,H4-4,837,598
WCF2025_M1,H5-0,830,587
WCF2025_M1,H6-0,816,570
WCF2025_M1,H7-0,808,545
WCF2025_M1,H8-0,838,517
WCF2025_M1,H9-0,841,501
WCF2025_M1,H10-1,875,484
WCF2025_M1,H10-2,883,489
WCF2025_M1,H10-3,879,492
WCF2025_M1,H10-4,895,498
WCF2025_M2,H1-1,1378,606
WCF2025_M2,H1-2,1390,593
WCF2025_M2,H1-3,1371,617
WCF2025_M2,H1-4,1387,616
WCF2025_M2,H2-1,1334,623
WCF2025_M2,H2-2,1344,623
WCF2025_M2,H2-3,1335,632
WCF2025_M2,H2-4,1347,632
WCF2025_M2,H3-1,1358,578
WCF2025_M2,H3-2,1371,573
WCF2025_M2,H3-3,1354,596
WCF2025_M2,H3-4,1368,597
WCF2025_M2,H4-0,1300,606
WCF2025_M2,H4-1,1288,598
WCF2025_M2,H4-2,1314,597
WCF2025_M2,H4-3,1289,616
WCF2025_M2,H4-4,1311,616
WCF2025_M2,H5-0,1303,567
WCF2025_M2,H6-1,1337,516
WCF2025_M2,H6-2,1354,515
WCF2025_M2,H6-3,1329,529
WCF2025_M2,H6-4,1351,537
WCF2025_M2,H7-1,1280,494
WCF2025_M2,H7-2,1300,496
WCF2025_M2,H7-4,1302,510
WCF2025_M2,H8-0,1288,511
WCF2025_M3,H1-1,1748,637
WCF2025_M3,H1-2,1762,637
WCF2025_M3,H1-3,1748,648
WCF2025_M3,H1-4,1762,608
WCF2025_M3,H2-0,1763,645
WCF2025_M3,H3-0,1745,620
WCF2025_M3,H4-0,1745,617
WCF2025_M3,H5-0,1765,612
WCF2025_M3,H6-1,1660,587
WCF2025_M3,H6-2,1670,596
WCF2025_M3,H6-3,1659,607
WCF2025_M3,H6-4,1674,609
WCF2025_M3,H7-0,1719,573
WCF2025_M3,H8-0,1735,567
WCF2025_M3,H9-0,1708,534
WCF2025_M3,H10-0,1670,525
WCF2025_M3,H11-0,1718,513
WCF2025_M3,H12-1,1743,489
WCF2025_M3,H12-2,1752,489
WCF2025_M3,H12-3,1739,498
WCF2025_M3,H12-4,1751,500
WCF2025_M4,H1-1,526,677
WCF2025_M4,H1-2,541,678
WCF2025_M4,H1-3,524,685
WCF2025_M4,H1-4,542,687
WCF2025_M4,H2-0,497,664
WCF2025_M4,H3-0,498,650
WCF2025_M4,H4-0,538,640
WCF2025_M4,H5-1,483,583
WCF2025_M4,H5-2,493,580
WCF2025_M4,H5-3,481,590
WCF2025_M4,H5-4,492,589
WCF2025_M4,H6-1,433,574
WCF2025_M4,H6-2,443,576
WCF2025_M4,H6-3,435,586
WCF2025_M4,H6-4,446,590
WCF2025_M4,H7-1,436,541
WCF2025_M4,H7-2,450,543
WCF2025_M4,H7-3,439,551
WCF2025_M4,H7-4,453,552
WCF2025_M4,H8-0,405,534
WCF2025_M4,H9-1,380,505
WCF2025_M4,H9-2,392,505
WCF2025_M4,H9-3,383,517
WCF2025_M4,H9-4,392,517
WCF2025_M4,H10-0,385,523
WCF2025_M4,H11-1,367,457
WCF2025_M4,H11-2,374,457
WCF2025_M4,H11-3,367,463
WCF2025_M4,H11-4,374,463
WCF2025_W1,H1-1,1521,645
WCF2025_W1,H1-2,1531,645
WCF2025_W1,H1-3,1522,652
WCF2025_W1,H1-4,1531,653
WCF2025_W1,H2-1,1530,610
WCF2025_W1,H2-2,1536,610
WCF2025_W1,H2-3,1531,618
WCF2025_W1,H2-4,1536,617
WCF2025_W1,H3-1,1568,603
WCF2025_W1,H3-2,1574,603
WCF2025_W1,H3-3,1570,617
WCF2025_W1,H3-4,1576,619
WCF2025_W1,H4-1,1576,605
WCF2025_W1,H4-2,1581,605
WCF2025_W1,H4-3,1576,614
WCF2025_W1,H4-4,1581,614
WCF2025_W1,H5-1,1491,586
WCF2025_W1,H5-2,1501,586
WCF2025_W1,H5-3,1492,595
WCF2025_W1,H5-4,1501,595
WCF2025_W1,H6-0,1543,577
WCF2025_W1,H7-1,1463,551
WCF2025_W1,H7-2,1479,551
WCF2025_W1,H7-3,1464,568
WCF2025_W1,H7-4,1479,568
WCF2025_W1,H8-1,1522,553
WCF2025_W1,H8-2,1530,555
WCF2025_W1,H8-3,1522,564
WCF2025_W1,H8-4,1533,564
WCF2025_W1,H9-1,1541,546
WCF2025_W1,H9-2,1552,539
WCF2025_W1,H9-3,1535,551
WCF2025_W1,H9-4,1549,550
WCF2025_W1,H10-1,1494,502
WCF2025_W1,H10-2,1505,502
WCF2025_W1,H10-3,1497,515
WCF2025_W1,H10-4,1506,519
WCF2025_W1,H11-0,1542,500
WCF2025_W1,H12-1,1551,477
WCF2025_W1,H12-2,1560,477
WCF2025_W1,H12-4,1560,486
WCF2025_W2,H1-0,983,662
WCF2025_W2,H2-0,1018,662
WCF2025_W2,H3-0,1063,656
WCF2025_W2,H4-1,1109,627
WCF2025_W2,H4-2,1120,628
WCF2025_W2,H4-3,1108,639
WCF2025_W2,H4-4,1120,639
WCF2025_W2,H5-1,985,601
WCF2025_W2,H5-2,995,601
WCF2025_W2,H5-3,985,609
WCF2025_W2,H5-4,995,610
WCF2025_W2,H6-1,1065,603
WCF2025_W2,H6-2,1075,603
WCF2025_W2,H6-3,1065,613
WCF2025_W2,H6-4,1076,612
WCF2025_W2,H7-0,1110,607
WCF2025_W2,H8-1,1097,566
WCF2025_W2,H8-2,1108,567
WCF2025_W2,H8-3,1101,575
WCF2025_W2,H8-4,1108,575
WCF2025_W2,H9-0,1104,576
WCF2025_W2,H10-1,1142,557
WCF2025_W2,H10-2,1170,554
WCF2025_W2,H10-3,1145,572
WCF2025_W2,H10-4,1172,569
WCF2025_W2,H11-0,1122,566
WCF2025_W2,H12-1,1172,504
WCF2025_W2,H12-2,1201,508
WCF2025_W2,H12-3,1176,519
WCF2025_W2,H12-4,1210,521
WCF2025_W2,H13-0,1166,508
WCF2025_W2,H14-1,1183,511
WCF2025_W2,H14-2,1193,511
WCF2025_W2,H14-3,1185,520
WCF2025_W2,H14-4,1196,522
WCF2025_W2,H15-1,1198,490
WCF2025_W2,H15-2,1235,493
WCF2025_W2,H15-3,1204,503
WCF2025_W2,H15-4,1244,503
WCF2025_W2,H16-0,1218,501
WCF2025_W3,H1-0,193,663
WCF2025_W3,H1-1,187,656
WCF2025_W3,H1-2,200,656
WCF2025_W3,H1-3,189,670
WCF2025_W3,H1-4,199,670
WCF2025_W3,H2-0,180,637
WCF2025_W3,H2-1,175,634
WCF2025_W3,H2-2,184,630
WCF2025_W3,H2-3,176,640
WCF2025_W3,H2-4,185,642
WCF2025_W3,H3-1,238,622
WCF2025_W3,H3-2,246,625
WCF2025_W3,H3-3,237,630
WCF2025_W3,H3-4,249,632
WCF2025_W3,H4-0,239,633
WCF2025_W3,H5-0,230,618
WCF2025_W3,H6-0,234,618
WCF2025_W3,H7-1,253,614
WCF2025_W3,H7-2,264,613
WCF2025_W3,H7-3,253,620
WCF2025_W3,H7-4,264,620
WCF2025_W3,H8-0,259,620
WCF2025_W3,H9-1,300,606
WCF2025_W3,H9-2,310,606
WCF2025_W3,H9-3,300,615
WCF2025_W3,H9-4,310,615
WCF2025_W3,H10-0,346,584
WCF2025_W3,H11-1,173,566
WCF2025_W3,H11-2,179,566
WCF2025_W3,H11-3,173,572
WCF2025_W3,H11-4,179,572
WCF2025_W3,H12-1,323,540
WCF2025_W3,H12-2,335,540
WCF2025_W3,H12-3,323,551
WCF2025_W3,H12-4,335,551
WCF2025_W3,H13-0,338,486
WCF2025_W4,H1-1,573,655
WCF2025_W4,H1-2,585,655
WCF2025_W4,H1-3,573,666
WCF2025_W4,H1-4,585,666
WCF2025_W4,H2-1,602,641
WCF2025_W4,H2-2,638,642
WCF2025_W4,H2-3,602,666
WCF2025_W4,H2-4,638,666
WCF2025_W4,H3-1,610,649
WCF2025_W4,H3-2,625,649
WCF2025_W4,H3-3,610,661
WCF2025_W4,H3-4,625,661
WCF2025_W4,H4-1,596,604
WCF2025_W4,H4-2,606,607
WCF2025_W4,H4-3,604,620
WCF2025_W4,H4-4,609,617
WCF2025_W4,H5-0,598,614
WCF2025_W4,H6-0,639,603
WCF2025_W4,H6-1,633,597
WCF2025_W4,H6-2,647,597
WCF2025_W4,H6-3,633,611
WCF2025_W4,H6-4,647,611
WCF2025_W4,H7-1,667,593
WCF2025_W4,H7-2,680,595
WCF2025_W4,H7-4,681,601
WCF2025_W4,H8-0,680,583
WCF2025_W4,H9-0,681,570
WCF2025_W4,H10-1,622,514
WCF2025_W4,H10-2,646,515
WCF2025_W4,H11-1,620,531
WCF2025_W4,H11-2,641,531
WCF2025_W4,H11-3,619,541
WCF2025_W4,H11-4,642,548
WCF2025_W4,H12-0,627,550
WCF2025_W4,H13-1,674,521
WCF2025_W4,H13-2,687,521
WCF2025_W4,H13-3,674,533
WCF2025_W4,H13-4,687,533
WCF2025_W4,H14-1,673,498
WCF2025_W4,H14-2,694,504
WCF2025_W4,H14-4,701,518
WCF2025_W4,H15-1,705,471
WCF2025_W4,H15-2,726,471
WCF2025_W4,H15-3,706,495
WCF2025_W4,H15-4,726,495
WCF2025_W4,H16-1,713,481
WCF2025_W4,H16-2,721,481
WCF2025_W4,H16-3,713,489
WCF2025_W4,H16-4,721,489
